CustomerID,LastPurchase,FirstPurchase,Frequency,Monetary,Recency,TenureDays,AvgOrderValue,R_Score,F_Score,M_Score,RFM_Score,Segment,Decile
12372,2011-09-29 12:12:00,2011-02-16 12:46:00,3,1298.04,72,224,432.68,3,2,2,7,Needs Attention,4
12373,2011-02-01 13:10:00,2011-02-01 13:10:00,1,364.6,311,0,364.6,1,4,4,9,Can't Lose Them,7
12374,2011-11-14 15:37:00,2011-11-14 15:37:00,1,742.9300000000001,25,0,742.9300000000001,4,4,3,11,Loyal,5
12375,2011-11-29 10:36:00,2011-09-02 14:23:00,2,457.5,11,87,228.75,5,3,4,12,Needs Attention,7
12377,2011-01-28 15:45:00,2010-12-20 09:37:00,2,1628.12,315,39,814.06,1,3,2,6,At Risk,3
12378,2011-08-02 10:34:00,2011-08-02 10:34:00,1,4008.62,130,0,4008.62,2,4,1,7,At Risk,1
12379,2011-09-19 10:09:00,2011-06-22 16:32:00,2,852.24,82,88,426.12,2,3,3,8,At Risk,5
12380,2011-11-18 11:27:00,2011-06-07 09:49:00,4,2724.81,22,164,681.2025,4,2,1,7,New / Promising,2
12381,2011-12-05 12:44:00,2011-08-12 09:57:00,5,1845.31,5,115,369.062,5,2,2,9,New / Promising,3
12383,2011-06-08 08:02:00,2010-12-22 14:28:00,5,1850.56,185,167,370.11199999999997,1,2,2,5,Lost / Low Value,3
12384,2011-11-11 08:39:00,2011-08-10 11:23:00,2,585.27,29,92,292.635,4,3,3,10,Needs Attention,6
12386,2011-01-06 12:37:00,2010-12-08 09:53:00,2,401.9,338,29,200.95,1,3,4,8,At Risk,7
12388,2011-11-24 12:30:00,2011-01-17 11:12:00,6,2780.66,16,311,463.4433333333333,4,1,1,6,New / Promising,2
12390,2011-09-21 09:33:00,2011-09-21 09:33:00,1,549.84,80,0,549.84,2,4,3,9,At Risk,6
12391,2011-11-18 12:07:00,2011-11-18 12:07:00,1,439.66,22,0,439.66,4,4,4,12,Champions,7
12393,2011-09-28 15:41:00,2011-01-11 09:47:00,4,1582.6000000000001,72,260,395.65000000000003,3,2,2,7,Needs Attention,3
12394,2011-10-07 08:08:00,2011-05-06 14:01:00,2,1272.48,64,153,636.24,3,3,2,8,Needs Attention,4
12395,2011-11-20 15:21:00,2010-12-03 16:35:00,12,3018.63,19,351,251.5525,4,1,1,6,New / Promising,2
12397,2011-11-04 09:52:00,2011-07-27 14:21:00,2,2409.9,36,99,1204.95,3,3,1,7,Needs Attention,2
12398,2011-10-25 10:27:00,2011-10-25 10:27:00,1,1635.6599999999999,46,0,1635.6599999999999,3,4,2,9,Needs Attention,3
12399,2011-08-12 13:15:00,2011-03-23 09:42:00,4,1108.65,119,142,277.1625,2,2,2,6,Lost / Low Value,4
12401,2011-02-09 13:50:00,2011-02-09 13:50:00,1,84.3,303,0,84.3,1,4,5,10,Can't Lose Them,10
12402,2011-01-20 13:49:00,2011-01-20 13:49:00,1,225.6,323,0,225.6,1,4,5,10,Can't Lose Them,9
12403,2011-10-21 10:51:00,2011-10-21 10:51:00,1,427.7,50,0,427.7,3,4,4,11,Needs Attention,7
12405,2011-07-14 08:52:00,2011-07-14 08:52:00,1,1710.39,149,0,1710.39,2,4,2,8,At Risk,3
12406,2011-11-17 19:22:00,2011-06-09 10:23:00,2,3415.3,22,161,1707.65,4,3,1,8,Needs Attention,2
12407,2011-10-21 10:11:00,2011-03-20 13:21:00,5,1708.1200000000001,50,214,341.624,3,2,2,7,Needs Attention,3
12408,2011-11-07 12:27:00,2011-03-24 14:46:00,5,2888.55,33,227,577.71,4,2,1,7,New / Promising,2
12409,2011-09-22 10:38:00,2011-06-10 12:19:00,3,11072.67,79,103,3690.89,2,2,1,5,Lost / Low Value,1
12410,2011-02-04 10:39:00,2011-02-04 10:38:00,2,693.3299999999999,309,0,346.66499999999996,1,3,3,7,At Risk,5
12412,2011-09-26 10:16:00,2011-06-23 13:51:00,3,1226.88,75,94,408.96000000000004,2,2,2,6,Lost / Low Value,4
12413,2011-10-04 09:00:00,2011-01-06 16:12:00,3,758.1,67,270,252.70000000000002,3,2,3,8,Needs Attention,5
12414,2011-05-06 14:51:00,2011-02-02 14:51:00,3,562.41,217,93,187.47,1,2,3,6,Lost / Low Value,6
12415,2011-11-15 14:22:00,2011-01-06 11:12:00,21,124914.53,24,313,5948.310952380953,4,1,1,6,New / Promising,1
12417,2011-12-06 14:52:00,2010-12-17 11:51:00,9,3649.1,3,354,405.4555555555555,5,1,1,7,New / Promising,1
12418,2011-08-19 11:08:00,2011-08-19 11:08:00,1,668.58,113,0,668.58,2,4,3,9,At Risk,5
12420,2011-10-07 08:55:00,2011-10-07 08:55:00,1,600.39,64,0,600.39,3,4,3,10,Needs Attention,6
12421,2011-11-24 09:07:00,2011-01-24 15:09:00,4,807.04,16,303,201.76,4,2,3,9,New / Promising,5
12422,2011-09-05 09:48:00,2011-01-19 09:13:00,3,803.5600000000001,96,229,267.85333333333335,2,2,3,7,Lost / Low Value,5
12423,2011-12-09 10:10:00,2010-12-21 10:54:00,8,1859.31,1,352,232.41375,5,1,2,8,New / Promising,3
12424,2011-06-30 12:06:00,2011-06-30 12:06:00,2,1760.96,163,0,880.48,2,3,2,7,At Risk,3
12425,2011-09-22 17:31:00,2011-09-22 17:31:00,1,777.2,78,0,777.2,2,4,3,9,At Risk,5
12426,2011-05-29 12:26:00,2011-05-29 12:26:00,1,582.73,195,0,582.73,1,4,3,8,At Risk,6
12427,2011-11-18 08:56:00,2010-12-03 10:44:00,3,825.8,22,349,275.26666666666665,4,2,3,9,New / Promising,5
12428,2011-11-14 08:22:00,2011-03-01 09:33:00,9,7956.46,26,257,884.0511111111111,4,1,1,6,New / Promising,1
12429,2011-11-30 17:22:00,2010-12-09 12:05:00,4,3750.4,9,356,937.6,5,2,1,8,New / Promising,1
12430,2011-10-27 15:09:00,2011-10-27 15:09:00,1,256.4,43,0,256.4,3,4,4,11,Needs Attention,8
12431,2011-11-04 11:55:00,2010-12-01 10:03:00,15,6419.95,36,338,427.99666666666667,3,1,1,5,Needs Attention,1
12432,2011-10-28 11:43:00,2011-06-20 13:27:00,5,5059.32,43,129,1011.8639999999999,3,2,1,6,Needs Attention,1
12433,2011-12-09 10:02:00,2010-12-01 13:24:00,7,13375.87,1,372,1910.8385714285716,5,1,1,7,New / Promising,1
12434,2011-09-16 12:38:00,2011-03-24 13:05:00,2,806.14,85,175,403.07,2,3,3,8,At Risk,5
12435,2011-09-21 09:06:00,2011-03-17 07:40:00,2,7829.89,80,188,3914.945,2,3,1,6,At Risk,1
12436,2011-09-01 12:09:00,2011-09-01 12:09:00,1,509.01,100,0,509.01,2,4,3,9,At Risk,6
12437,2011-12-08 11:35:00,2011-01-12 14:13:00,18,4951.41,2,329,275.0783333333333,5,1,1,7,New / Promising,1
12438,2011-11-25 13:28:00,2011-07-22 13:29:00,2,2906.85,14,125,1453.425,4,3,1,8,Needs Attention,2
12441,2010-12-08 10:45:00,2010-12-08 10:45:00,1,173.55,367,0,173.55,1,4,5,10,Can't Lose Them,9
12442,2011-12-06 14:22:00,2011-12-06 14:22:00,1,172.06,3,0,172.06,5,4,5,14,Champions,9
12444,2011-11-18 13:23:00,2011-06-21 14:00:00,5,5005.46,21,149,1001.092,4,2,1,7,New / Promising,1
12445,2011-11-17 18:43:00,2011-11-17 18:43:00,1,133.4,22,0,133.4,4,4,5,13,Champions,10
12446,2011-10-13 12:50:00,2011-10-13 12:50:00,1,1002.3100000000001,58,0,1002.3100000000001,3,4,2,9,Needs Attention,4
12447,2011-04-10 13:25:00,2011-04-10 13:25:00,1,476.49,243,0,476.49,1,4,4,9,Can't Lose Them,7
12448,2011-10-26 13:46:00,2011-10-26 13:46:00,1,449.45,44,0,449.45,3,4,4,11,Needs Attention,7
12449,2011-11-17 13:46:00,2011-06-05 15:37:00,4,4067.29,22,164,1016.8225,4,2,1,7,New / Promising,1
12450,2011-07-06 14:41:00,2011-06-19 14:36:00,2,197.88,156,17,98.94,2,3,5,10,At Risk,9
12451,2011-11-29 08:40:00,2011-01-19 09:05:00,5,9035.52,11,313,1807.104,5,2,1,8,New / Promising,1
12452,2011-11-23 10:28:00,2011-11-23 08:05:00,2,430.57,17,0,215.285,4,3,4,11,Needs Attention,7
12453,2011-07-28 14:08:00,2011-07-28 14:08:00,1,707.09,134,0,707.09,2,4,3,9,At Risk,5
12454,2011-10-14 17:13:00,2011-10-14 17:13:00,1,3528.34,56,0,3528.34,3,4,1,8,Needs Attention,2
12455,2011-09-27 15:31:00,2011-02-16 09:56:00,6,2466.86,73,223,411.1433333333334,2,1,1,4,Lost / Low Value,2
12456,2011-10-26 14:41:00,2011-03-30 09:12:00,3,3181.04,44,210,1060.3466666666666,3,2,1,6,Needs Attention,2
12457,2011-10-04 13:13:00,2011-04-14 18:57:00,7,2363.23,66,172,337.6042857142857,3,1,1,5,Needs Attention,2
12458,2011-09-29 15:25:00,2011-02-28 10:55:00,2,947.4,71,213,473.7,3,3,2,8,Needs Attention,4
12461,2011-09-06 16:57:00,2011-07-08 10:23:00,2,826.88,94,60,413.44,2,3,3,8,At Risk,5
12462,2011-11-21 09:11:00,2011-02-09 14:44:00,2,1189.59,19,284,594.795,4,3,2,9,Needs Attention,4
12463,2011-10-17 13:44:00,2011-04-12 12:47:00,4,1344.78,53,188,336.195,3,2,2,7,Needs Attention,4
12464,2011-11-29 13:33:00,2011-02-03 13:30:00,8,1212.05,10,299,151.50625,5,1,2,8,New / Promising,4
12465,2011-11-22 16:34:00,2011-06-23 13:37:00,2,742.1899999999999,17,152,371.09499999999997,4,3,3,10,Needs Attention,5
12468,2011-06-05 11:36:00,2011-01-27 13:29:00,2,729.5400000000001,188,128,364.77000000000004,1,3,3,7,At Risk,5
12471,2011-12-07 15:43:00,2010-12-10 09:35:00,30,19788.65,2,362,659.6216666666667,5,1,1,7,New / Promising,1
12472,2011-11-07 14:01:00,2010-12-05 14:19:00,7,6572.11,32,336,938.8728571428571,4,1,1,6,New / Promising,1
12473,2011-11-10 13:46:00,2011-06-01 10:15:00,5,3928.0499999999997,29,162,785.6099999999999,4,2,1,7,New / Promising,1
12474,2011-11-22 14:39:00,2011-01-14 10:06:00,18,7324.09,17,312,406.8938888888889,4,1,1,6,New / Promising,1
12475,2011-10-17 10:10:00,2011-10-17 10:10:00,1,723.38,54,0,723.38,3,4,3,10,Needs Attention,5
12476,2011-11-24 12:40:00,2010-12-13 14:39:00,11,6816.42,16,345,619.6745454545454,4,1,1,6,New / Promising,1
12477,2011-11-17 09:51:00,2011-02-11 12:45:00,6,13219.74,23,278,2203.29,4,1,1,6,New / Promising,1
12478,2011-12-06 09:56:00,2011-12-06 09:56:00,1,680.99,4,0,680.99,5,4,3,12,Loyal,5
12479,2011-11-28 13:26:00,2011-11-28 13:26:00,1,527.2,11,0,527.2,5,4,3,12,Loyal,6
12480,2011-11-11 14:52:00,2011-01-07 15:27:00,4,3281.63,28,307,820.4075,4,2,1,7,New / Promising,2
12481,2011-11-17 08:29:00,2010-12-09 10:13:00,10,5579.82,23,342,557.982,4,1,1,6,New / Promising,1
12483,2011-11-22 17:02:00,2011-01-04 14:20:00,8,2484.98,17,322,310.6225,4,1,1,6,New / Promising,2
12484,2011-11-07 11:37:00,2011-01-07 14:04:00,6,4527.32,33,303,754.5533333333333,4,1,1,6,New / Promising,1
12488,2011-11-30 08:50:00,2011-09-25 10:34:00,3,1298.66,10,65,432.8866666666667,5,2,2,9,New / Promising,4
12489,2011-01-07 13:13:00,2011-01-07 13:13:00,1,334.93,336,0,334.93,1,4,4,9,Can't Lose Them,8
12490,2011-12-04 16:07:00,2011-01-14 09:13:00,10,5417.93,5,324,541.793,5,1,1,7,New / Promising,1
12491,2011-11-01 12:18:00,2011-11-01 12:18:00,1,460.40000000000003,39,0,460.40000000000003,3,4,4,11,Needs Attention,7
12492,2011-10-07 15:15:00,2011-08-26 14:51:00,2,263.21000000000004,63,42,131.60500000000002,3,3,4,10,Needs Attention,8
12493,2011-06-27 10:17:00,2011-05-26 14:53:00,2,433.74,166,31,216.87,2,3,4,9,At Risk,7
12494,2011-11-24 09:34:00,2010-12-09 11:31:00,7,1246.1000000000001,16,349,178.01428571428573,4,1,2,7,New / Promising,4
12497,2011-09-19 12:29:00,2011-09-19 12:29:00,1,1043.1,82,0,1043.1,2,4,2,8,At Risk,4
12498,2011-11-18 12:53:00,2011-10-13 09:30:00,3,403.70000000000005,21,36,134.5666666666667,4,2,4,10,Needs Attention,7
12500,2011-11-16 16:20:00,2011-01-10 09:48:00,11,4257.82,23,310,387.07454545454544,4,1,1,6,New / Promising,1
12501,2011-01-07 12:28:00,2011-01-07 12:28:00,1,2169.39,337,0,2169.39,1,4,1,6,At Risk,2
12502,2011-09-05 11:52:00,2011-02-03 10:41:00,5,3723.87,96,214,744.774,2,2,1,5,Lost / Low Value,1
12504,2011-11-21 16:02:00,2011-11-09 14:56:00,2,482.04999999999995,18,12,241.02499999999998,4,3,4,11,Needs Attention,7
12506,2011-04-21 08:54:00,2011-04-21 08:54:00,1,73.5,233,0,73.5,1,4,5,10,Can't Lose Them,10
12507,2011-07-28 17:09:00,2011-02-14 09:24:00,3,1304.81,134,164,434.93666666666667,2,2,2,6,Lost / Low Value,4
12508,2011-11-13 15:37:00,2011-11-10 16:27:00,2,397.88,26,2,198.94,4,3,4,11,Needs Attention,7
12509,2011-02-28 14:45:00,2011-02-28 14:45:00,1,176.5,284,0,176.5,1,4,5,10,Can't Lose Them,9
12510,2011-07-20 10:15:00,2011-01-18 14:04:00,2,982.5699999999999,143,182,491.28499999999997,2,3,2,7,At Risk,4
12512,2011-10-04 14:55:00,2011-10-04 14:53:00,2,132.18,66,0,66.09,3,3,5,11,Needs Attention,10
12513,2011-08-19 10:51:00,2011-08-19 10:51:00,1,612.29,113,0,612.29,2,4,3,9,At Risk,6
12514,2011-03-17 16:38:00,2011-03-17 16:38:00,1,1017.68,267,0,1017.68,1,4,2,7,At Risk,4
12515,2010-12-21 15:43:00,2010-12-21 15:43:00,1,383.7,353,0,383.7,1,4,4,9,Can't Lose Them,7
12516,2011-09-23 09:13:00,2011-06-12 11:37:00,2,1312.06,78,102,656.03,2,3,2,7,At Risk,4
12517,2011-11-11 14:04:00,2011-06-02 15:13:00,5,2481.6,28,161,496.32,4,2,1,7,New / Promising,2
12518,2011-12-09 10:13:00,2011-08-21 13:18:00,5,2056.89,1,109,411.378,5,2,1,8,New / Promising,2
12519,2011-10-07 09:26:00,2011-10-07 09:26:00,1,330.84,64,0,330.84,3,4,4,11,Needs Attention,8
12520,2011-09-21 15:23:00,2011-03-11 11:35:00,5,2634.26,79,194,526.8520000000001,2,2,1,5,Lost / Low Value,2
12521,2011-07-20 10:51:00,2011-07-20 10:51:00,1,599.68,143,0,599.68,2,4,3,9,At Risk,6
12522,2011-10-31 15:30:00,2011-10-19 14:41:00,2,192.72,39,12,96.36,3,3,5,11,Needs Attention,9
12523,2011-11-20 12:55:00,2011-01-12 09:43:00,11,1789.77,19,312,162.70636363636365,4,1,2,7,New / Promising,3
12524,2011-11-30 15:31:00,2011-01-10 10:35:00,8,4485.72,9,324,560.715,5,1,1,7,New / Promising,1
12526,2011-12-09 12:09:00,2011-09-06 14:19:00,3,1316.66,1,93,438.8866666666667,5,2,2,9,New / Promising,4
12527,2011-09-19 11:55:00,2011-01-18 12:05:00,3,348.71000000000004,82,243,116.23666666666668,2,2,4,8,Lost / Low Value,8
12528,2011-11-30 14:40:00,2011-01-31 09:05:00,6,1933.48,9,303,322.24666666666667,5,1,2,8,New / Promising,3
12530,2011-10-11 12:34:00,2011-01-07 10:04:00,4,1662.28,60,277,415.57,3,2,2,7,Needs Attention,3
12531,2011-11-25 11:12:00,2011-11-25 11:12:00,1,125.22,15,0,125.22,4,4,5,13,Champions,10
12532,2011-11-09 13:47:00,2011-11-09 13:47:00,1,349.83000000000004,30,0,349.83000000000004,4,4,4,12,Champions,7
12534,2011-08-01 10:26:00,2011-08-01 10:26:00,1,1089.18,131,0,1089.18,2,4,2,8,At Risk,4
12535,2011-09-09 08:48:00,2011-06-06 12:47:00,2,716.35,92,94,358.175,2,3,3,8,At Risk,5
12536,2011-10-27 14:20:00,2011-10-11 14:52:00,3,12601.830000000002,43,15,4200.610000000001,3,2,1,6,Needs Attention,1
12538,2011-11-10 17:16:00,2011-11-10 17:16:00,1,363.95,29,0,363.95,4,4,4,12,Champions,7
12539,2011-11-17 13:30:00,2011-01-10 09:11:00,4,5568.35,22,311,1392.0875,4,2,1,7,New / Promising,1
12540,2011-11-20 11:31:00,2010-12-13 09:39:00,17,13400.24,20,342,788.2494117647059,4,1,1,6,New / Promising,1
12541,2011-11-10 10:40:00,2011-03-04 09:32:00,3,981.18,30,251,327.06,4,2,2,8,New / Promising,4
12544,2011-11-03 16:15:00,2011-11-03 16:15:00,1,372.7,36,0,372.7,3,4,4,11,Needs Attention,7
12545,2011-09-25 13:39:00,2011-03-25 12:04:00,2,1000.39,75,184,500.195,2,3,2,7,At Risk,4
12546,2011-10-24 12:09:00,2011-09-23 09:44:00,2,1161.5,47,31,580.75,3,3,2,8,Needs Attention,4
12547,2011-05-26 12:38:00,2011-03-04 12:46:00,2,207.79999999999998,198,82,103.89999999999999,1,3,5,9,At Risk,9
12548,2011-06-26 15:35:00,2011-06-26 15:35:00,1,95.19999999999999,166,0,95.19999999999999,2,4,5,11,Can't Lose Them,10
12550,2011-09-21 14:35:00,2011-09-21 14:35:00,1,964.83,79,0,964.83,2,4,2,8,At Risk,4
12551,2010-12-17 11:23:00,2010-12-17 11:23:00,1,168.0,358,0,168.0,1,4,5,10,Can't Lose Them,9
12552,2011-11-01 10:02:00,2011-10-31 12:11:00,2,437.82,39,0,218.91,3,3,4,10,Needs Attention,7
12553,2011-12-01 16:38:00,2011-01-14 10:42:00,10,3692.28,8,321,369.228,5,1,1,7,New / Promising,1
12556,2011-10-20 13:06:00,2011-07-11 13:35:00,2,599.56,50,100,299.78,3,3,3,9,Needs Attention,6
12557,2011-11-23 16:59:00,2010-12-03 12:20:00,5,11990.960000000001,16,355,2398.192,4,2,1,7,New / Promising,1
12558,2011-12-02 10:41:00,2011-12-02 10:41:00,1,269.96,8,0,269.96,5,4,4,13,Champions,8
12559,2011-02-02 09:49:00,2011-01-24 10:12:00,2,561.71,311,8,280.855,1,3,3,7,At Risk,6
12560,2011-12-04 13:54:00,2011-07-19 15:55:00,3,2134.01,5,137,711.3366666666667,5,2,1,8,New / Promising,2
12561,2011-02-10 11:39:00,2011-02-10 11:39:00,1,238.85,303,0,238.85,1,4,5,10,Can't Lose Them,9
12562,2011-12-01 17:20:00,2011-05-25 12:44:00,7,3781.7400000000002,8,190,540.2485714285715,5,1,1,7,New / Promising,1
12564,2011-03-23 14:55:00,2011-03-23 14:55:00,1,456.9,261,0,456.9,1,4,4,9,Can't Lose Them,7
12565,2011-02-24 10:34:00,2011-02-24 10:34:00,1,145.92,289,0,145.92,1,4,5,10,Can't Lose Them,10
12566,2011-09-14 14:30:00,2011-09-14 14:30:00,1,351.65,86,0,351.65,2,4,4,10,Can't Lose Them,7
12567,2011-11-17 11:02:00,2010-12-05 11:57:00,10,9401.28,23,346,940.128,4,1,1,6,New / Promising,1
12569,2011-12-07 16:24:00,2011-04-01 13:47:00,32,4124.69,2,250,128.8965625,5,1,1,7,New / Promising,1
12571,2011-10-31 10:19:00,2011-08-10 12:35:00,2,519.61,40,81,259.805,3,3,3,9,Needs Attention,6
12572,2011-12-01 09:20:00,2011-10-19 08:20:00,2,1020.42,9,43,510.21,5,3,2,10,Needs Attention,4
12573,2011-04-26 15:52:00,2011-04-26 15:52:00,1,160.54000000000002,227,0,160.54000000000002,1,4,5,10,Can't Lose Them,9
12574,2011-01-28 09:20:00,2011-01-28 09:20:00,1,218.45,316,0,218.45,1,4,5,10,Can't Lose Them,9
12576,2011-11-04 10:11:00,2011-02-08 11:31:00,5,1315.83,36,268,263.166,3,2,2,7,Needs Attention,4
12577,2011-11-04 13:24:00,2010-12-15 16:21:00,3,626.6,35,323,208.86666666666667,3,2,3,8,Needs Attention,6
12578,2011-11-18 13:30:00,2011-01-13 15:34:00,2,2794.51,21,308,1397.255,4,3,1,8,Needs Attention,2
12579,2011-09-22 17:15:00,2011-09-22 17:15:00,1,440.42,78,0,440.42,2,4,4,10,Can't Lose Them,7
12580,2011-04-07 10:24:00,2011-04-07 10:24:00,1,415.7,247,0,415.7,1,4,4,9,Can't Lose Them,7
12581,2011-10-31 08:56:00,2011-10-31 08:56:00,1,197.71,40,0,197.71,3,4,5,12,Needs Attention,9
12582,2011-04-15 08:45:00,2011-02-24 11:42:00,2,511.36,239,49,255.68,1,3,3,7,At Risk,6
12583,2011-12-07 08:07:00,2010-12-01 08:45:00,15,7281.38,3,370,485.42533333333336,5,1,1,7,New / Promising,1
12584,2011-12-06 09:35:00,2011-03-04 15:15:00,9,2338.15,4,276,259.7944444444445,5,1,1,7,New / Promising,2
12585,2011-04-19 13:39:00,2010-12-23 12:58:00,2,2040.1,234,117,1020.05,1,3,2,6,At Risk,3
12586,2011-11-22 16:24:00,2011-11-22 16:24:00,1,196.94000000000003,17,0,196.94000000000003,4,4,5,13,Champions,9
12587,2011-12-02 12:47:00,2011-12-02 12:47:00,1,144.0,8,0,144.0,5,4,5,14,Champions,10
12588,2011-10-31 15:01:00,2011-10-31 15:01:00,1,214.89999999999998,39,0,214.89999999999998,3,4,5,12,Needs Attention,9
12589,2011-11-11 10:19:00,2011-07-18 12:05:00,2,646.68,29,115,323.34,4,3,3,10,Needs Attention,6
12590,2011-05-12 14:52:00,2011-05-12 14:46:00,2,9864.26,211,0,4932.13,1,3,1,5,At Risk,1
12591,2011-01-26 14:35:00,2011-01-26 14:35:00,1,452.84999999999997,317,0,452.84999999999997,1,4,4,9,Can't Lose Them,7
12592,2011-09-08 15:04:00,2011-05-10 13:44:00,2,437.6,92,121,218.8,2,3,4,9,At Risk,7
12593,2011-08-23 12:43:00,2011-05-05 09:29:00,3,418.09999999999997,109,110,139.36666666666665,2,2,4,8,Lost / Low Value,7
12594,2011-11-02 12:20:00,2011-01-21 09:52:00,10,3338.2200000000003,38,285,333.822,3,1,1,5,Needs Attention,2
12596,2011-10-19 13:02:00,2011-04-11 13:22:00,2,618.27,51,190,309.135,3,3,3,9,Needs Attention,6
12597,2011-11-20 13:33:00,2011-03-16 14:00:00,4,3811.22,19,248,952.805,4,2,1,7,New / Promising,1
12598,2011-11-30 12:18:00,2011-02-28 11:58:00,8,3023.08,10,275,377.885,5,1,1,7,New / Promising,2
12599,2011-11-10 13:34:00,2011-02-08 13:28:00,7,1032.58,29,275,147.51142857142855,4,1,2,7,New / Promising,4
12600,2011-11-11 10:29:00,2010-12-03 12:57:00,10,2599.04,29,342,259.904,4,1,1,6,New / Promising,2
12601,2011-06-03 10:17:00,2011-01-11 10:38:00,5,577.0600000000001,190,142,115.412,1,2,3,6,Lost / Low Value,6
12602,2011-10-12 11:22:00,2011-10-12 11:22:00,1,153.12,59,0,153.12,3,4,5,12,Needs Attention,10
12603,2011-11-18 10:42:00,2011-11-18 10:42:00,1,739.1999999999999,22,0,739.1999999999999,4,4,3,11,Loyal,5
12604,2011-09-21 14:08:00,2011-03-23 12:06:00,2,254.18,79,182,127.09,2,3,4,9,At Risk,8
12607,2011-10-10 16:06:00,2011-10-10 16:06:00,1,1579.51,60,0,1579.51,3,4,2,9,Needs Attention,3
12609,2011-09-22 16:34:00,2011-01-25 15:13:00,3,1126.85,78,240,375.6166666666666,2,2,2,6,Lost / Low Value,4
12610,2011-11-17 09:34:00,2011-08-05 13:52:00,5,2099.54,23,103,419.908,4,2,1,7,New / Promising,2
12611,2011-10-18 13:12:00,2011-10-18 13:12:00,1,1193.32,52,0,1193.32,3,4,2,9,Needs Attention,4
12612,2011-09-26 15:35:00,2011-09-26 15:35:00,1,704.0400000000001,74,0,704.0400000000001,2,4,3,9,At Risk,5
12613,2011-10-13 14:59:00,2011-03-22 15:42:00,5,3344.38,57,204,668.876,3,2,1,6,Needs Attention,2
12614,2011-03-07 10:22:00,2011-03-07 10:22:00,1,315.6,278,0,315.6,1,4,4,9,Can't Lose Them,8
12615,2011-12-07 15:02:00,2011-06-24 13:35:00,4,2291.19,2,166,572.7975,5,2,1,8,New / Promising,2
12616,2011-09-05 15:17:00,2011-02-15 14:17:00,2,713.3,95,202,356.65,2,3,3,8,At Risk,5
12617,2011-11-10 14:39:00,2011-11-10 14:39:00,1,352.98,29,0,352.98,4,4,4,12,Champions,7
12618,2011-11-18 11:10:00,2011-11-18 11:10:00,1,177.31,22,0,177.31,4,4,5,13,Champions,9
12619,2011-11-23 14:52:00,2011-03-31 13:10:00,9,3641.24,16,237,404.5822222222222,4,1,1,6,New / Promising,1
12620,2011-11-25 10:20:00,2011-05-19 12:10:00,3,1339.41,15,189,446.47,4,2,2,8,New / Promising,4
